location,age_group,gender,education_level,question_number,question_text,response
British Columbia,16-25,Female,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,A strong feminist
British Columbia,16-25,Female,,Q2,People should be able to say what they think even if it offends some people.,Strongly agree
British Columbia,16-25,Female,,Q3,Society would be better off if fewer women worked outside the home.,Strongly disagree
British Columbia,16-25,Female,,Q4,Do you think Canada should admit more immigrants  less immigrants  or about the same number of immigrants as now?,More immigrants
British Columbia,16-25,Female,,Q5,Politicians are willing to lie to get elected.,Strongly agree
British Columbia,16-25,Female,,Q6,I’d rather put my trust in the wisdom of ordinary people than the opinions of experts and intellectuals.,Strongly disagree
British Columbia,16-25,Female,,Q7,Elections make no difference to what happens in this country.,Strongly disagree
British Columbia,16-25,Female,,Q8,Political protests are disruptive and should be limited.,Strongly disagree
British Columbia,16-25,Female,,Q9,There should be restrictions on religious symbols in public life.,Strongly disagree
British Columbia,16-25,Female,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly disagree
British Columbia,16-25,Female,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly disagree
British Columbia,16-25,Female,,Q12,People like me don't have any say about what the government does.,Strongly agree
British Columbia,16-25,Female,,Q13,My ethnicity is an important part of my identity.,Strongly agree
British Columbia,16-25,Female,,Q14,Immigrants take jobs away from other Canadians.,Strongly disagree
British Columbia,16-25,Female,,Q15,The best way to protect women's interests is to have more women in Parliament.,Strongly agree
British Columbia,16-25,Male,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,Not a feminist at all
British Columbia,16-25,Male,,Q2,People should be able to say what they think even if it offends some people.,Strongly agree
British Columbia,16-25,Male,,Q3,Society would be better off if fewer women worked outside the home.,Strongly disagree
British Columbia,16-25,Male,,Q4,Do you think Canada should admit more immigrants  less immigrants  or about the same number of immigrants as now?,More immigrants
British Columbia,16-25,Male,,Q5,Politicians are willing to lie to get elected.,Strongly agree
British Columbia,16-25,Male,,Q6,I’d rather put my trust in the wisdom of ordinary people than the opinions of experts and intellectuals.,Strongly disagree
British Columbia,16-25,Male,,Q7,Elections make no difference to what happens in this country.,Strongly disagree
British Columbia,16-25,Male,,Q8,Political protests are disruptive and should be limited.,Strongly agree
British Columbia,16-25,Male,,Q9,There should be restrictions on religious symbols in public life.,Strongly disagree
British Columbia,16-25,Male,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly agree
British Columbia,16-25,Male,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly agree
British Columbia,16-25,Male,,Q12,People like me don't have any say about what the government does.,Strongly disagree
British Columbia,16-25,Male,,Q13,My ethnicity is an important part of my identity.,Strongly agree
British Columbia,16-25,Male,,Q14,Immigrants take jobs away from other Canadians.,Strongly agree
